claim_id,episode_no,timestamp,claim_text,claim_type,chapter_target,golden_thread_link,dtse_parameter,evidence_tier,verification_status,primary_source_needed,todo_cite_tag,bib_key,status,notes
F-DTER-001,1,00:00:00,"DePIN token economics will face increased investor scrutiny as revenue grows.",market_or_mechanism,"Foundations / Framework","Stress framing / mechanism behavior","",third_party_secondary,unverified,"Sector reports and primary protocol financial disclosures","% TODO-CITE: [Fluence Ep1 investor scrutiny claim] verify with primary source","",open,"Use as narrative framing only until verified."
F-DTER-002,1,00:00:00,"Geodnet is described as using ~80% buy-and-burn tied to revenue.",quantitative_claim,"Framework / Results","Mechanism robustness under economic stress","burn_fraction",third_party_secondary,unverified,"Official protocol docs, on-chain burn wallet traces, timestamped dashboard snapshots","% TODO-CITE: [Fluence Ep1 Geodnet buy-burn claim] verify with primary source","",open,"Potential comparator archetype; hard numbers must be verified."
F-DTER-003,2,00:00:00,"DePIN can be segmented into digital/cloud vs physical infrastructure networks.",taxonomy_claim,"Foundations / Framework","Stress framing / mechanism behavior","",third_party_secondary,unverified,"Taxonomy literature and protocol docs","% TODO-CITE: [Fluence Ep2 DePIN taxonomy claim] verify with primary source","",open,"Supports chapter-level conceptual framing."
F-DTER-004,2,00:00:00,"Three enabling trends are software maturity, cheaper hardware, and token design maturity.",causal_claim,"Foundations","Stress framing / mechanism behavior","provider_opex",third_party_secondary,unverified,"Hardware cost trend evidence and ecosystem reports","% TODO-CITE: [Fluence Ep2 enabling trends claim] verify with primary source","",open,"Possible bridge to hardware sunk-cost fragility framing."
F-DTER-005,2,00:00:00,"Projects with recurring revenue plus buy-and-burn are framed as more resilient to speculative attention cycles.",mechanism_claim,"Framework / Results","Mechanism robustness under economic stress","burn_fraction",third_party_secondary,unverified,"Primary protocol docs and on-chain demand/burn traces","% TODO-CITE: [Fluence Ep2 demand via buy-burn claim] verify with primary source","",open,"Treat as hypothesis, not established fact."
F-DTER-006,3,00:00:00,"Token models become harder to change after launch because stakeholder interests become entrenched.",governance_claim,"Framework","Stress framing / mechanism behavior","",third_party_secondary,unverified,"Governance proposal records and case-study evidence","% TODO-CITE: [Fluence Ep3 post-launch rigidity claim] verify with primary source","",open,"Useful for governance response-latency discussion."
F-DTER-007,3,00:00:00,"Token design should separate issuance (who gets tokens) and utility (how tokens are used).",design_claim,"Framework / Methodology","Theory-to-model translation","",third_party_secondary,unverified,"Protocol design documentation","% TODO-CITE: [Fluence Ep3 issuance-vs-utility claim] verify with primary source","",open,"Can structure mechanism comparison table."
F-DTER-008,3,00:00:00,"Digital DePIN emphasizes trust mechanisms (including staking), while physical DePIN emphasizes participant reward design.",mechanism_claim,"Framework / Methodology","Theory-to-model translation","burn_fraction; emission_cap",third_party_secondary,unverified,"Protocol docs across multiple networks","% TODO-CITE: [Fluence Ep3 digital-vs-physical mechanism claim] verify with primary source","",open,"Candidate archetype split for scenario design."
F-DTER-009,3,00:00:00,"Both sharp token declines and sharp token rises can destabilize participation quality and retention.",risk_claim,"Methodology / Results","Stress thresholds and failure modes","churn_threshold; price_drift",third_party_secondary,unverified,"On-chain participation and price/retention datasets","% TODO-CITE: [Fluence Ep3 two-sided price-risk claim] verify with primary source","",open,"Directly relevant to speculative fragility modeling."
F-DTER-010,4,00:00:00,"Requiring native token payment can add friction for non-crypto customers and reduce service adoption.",adoption_claim,"Framework / Methodology","Stress framing / mechanism behavior","fiat_revenue_baseline",third_party_secondary,unverified,"Enterprise adoption studies and protocol payment docs","% TODO-CITE: [Fluence Ep4 payment friction claim] verify with primary source","",open,"Maps to subsidy-gap and adoption assumptions."
F-DTER-011,4,00:00:00,"Fiat front-end and fiat-denominated pricing are presented as key to enterprise budgeting and scale.",pricing_claim,"Methodology / Results","Stress thresholds and failure modes","fiat_revenue_baseline",third_party_secondary,unverified,"Protocol docs + pricing policy pages + customer evidence","% TODO-CITE: [Fluence Ep4 fiat pricing claim] verify with primary source","",open,"Potential calibration input for revenue baseline scenarios."
F-DTER-012,5,00:00:00,"Reward schedules often decay over time to bootstrap early supply and then reduce emissions later.",emission_claim,"Framework / Methodology","Theory-to-model translation","emission_cap",third_party_secondary,unverified,"Official token emission schedules","% TODO-CITE: [Fluence Ep5 reward decay claim] verify with primary source","",open,"Potential baseline for capped-supply dynamics."
F-DTER-013,5,00:00:00,"Physical DePIN reward systems may vary rewards by location/demand rather than equal distribution.",allocation_claim,"Onocoy Case / Methodology","Stress thresholds and failure modes","burn_fraction; provider_opex",third_party_secondary,unverified,"Protocol reward formulas and docs","% TODO-CITE: [Fluence Ep5 differentiated rewards claim] verify with primary source","",open,"Useful for network-density and quality tradeoff framing."
F-DTER-014,6,00:00:00,"Stake collateral can align provider behavior with customer trust via slashing risk.",staking_claim,"Framework / Methodology","Theory-to-model translation","",third_party_secondary,unverified,"Protocol staking/slashing docs and governance records","% TODO-CITE: [Fluence Ep6 staking alignment claim] verify with primary source","",open,"Supports digital DePIN trust-mechanism framing."
