contributor,title,year,venue,doi_or_url,file_name,evidence_type(primary|secondary),dashboard_claim
Uros Kalabic; Mark Ballandies; Krzysztof Paruch; et al.,Burn-and-Mint Tokenomics: Deflation and Strategic Incentives,2023,DePIN Workshop / preprint,,Kalabic_2023_BurnAndMintTokenomics_DeflationAndStrategicIncentives.pdf,primary,Burn-to-mint solvency and emission-demand coupling design.
Shermin Voshmgir; Michael Zargham,Foundations of Cryptoeconomic Systems,2020,WU Vienna Working Paper Series,https://doi.org/10.57938/0d57c21f-6e9d-4e94-89ff-ec2d4d64583e,Voshmgir_Zargham_2020_FoundationsOfCryptoeconomicSystems.pdf,primary,Multi-level feedback loops and mechanism-design framing of token systems.
Hsien-Tang Kao; Tarun Chitra; Rei Chiang; John Morrow,An Analysis of the Market Risk to Participants in the Compound Protocol,2020,FAB 2020,,Kao_2020_AnAnalysisOfMarketRiskToParticipantsInCompoundProtocol.pdf,primary,Stress-test methodology for liquidation/slippage/cascade market risk.
Michael T. C. Chiu; Sachit Mahajan; Mark C. Ballandies; Uros V. Kalabic,DePIN: A Framework for Token-Incentivized Participatory Sensing,2024,arXiv,https://arxiv.org/abs/2405.16495,Chiu_Mahajan_Ballandies_Kalabic_2024_DePINFrameworkForTokenIncentivizedParticipatorySensing.pdf,primary,"DePIN threat model, Sybil defense, quality assurance, and governance considerations."
Mark C. Ballandies; Hongyang Wang; Andrew C. C. Law; et al.,A Taxonomy for Blockchain-based Decentralized Physical Infrastructure Networks (DePIN),2023,Center for Law & Economics Working Paper Series 03/2023,https://doi.org/10.3929/ethz-b-000640008,Ballandies_2023_ATaxonomyForBlockchainBasedDePIN.pdf,secondary,Protocol classification and comparability criteria for benchmark cohorts.
Michael S. Andrew; Mark C. Ballandies,Are you a DePIN? A Decision Tree to Classify Decentralized Physical Infrastructure Networks,2025,arXiv,https://arxiv.org/abs/2501.17416,Andrew_Ballandies_2025_AreYouADePINDecisionTree.pdf,secondary,Decision-tree framing for DePIN inclusion/exclusion in comparisons.
Kelsie Nabben; Hongyang Wang; Michael Zargham,Decentralised Governance for Autonomous Cyber-Physical Systems,2024,Research paper / preprint,,Nabben_Wang_Zargham_2024_DecentralisedGovernanceForAutonomousCyberPhysicalSystems.pdf,primary,"Governance surfaces, parameter rights, and feedback-loop governance under stress."
Kevin Owocki; Meg Lister,Gitcoin 2.0 Whitepaper (Grants = Growth),2024,Gitcoin Whitepaper,https://www.gitcoin.co/whitepaper/read,Owocki_Lister_2024_Gitcoin2Whitepaper.pdf,secondary,Quadratic funding/grants mechanisms and participatory capital allocation context.
Vitalik Buterin; Zoë Hitzig; E. Glen Weyl,Liberal Radicalism: A Flexible Design for Philanthropic Matching Funds,2018,Working paper,,Buterin_Hitzig_Weyl_2018_LiberalRadicalism_FlexibleDesignForPhilanthropicMatchingFunds.pdf,primary,Formal basis for quadratic funding and collective allocation mechanisms.
Jeff Strnad,Delegation and Participation in Decentralized Governance: An Epistemic View,2025,arXiv,https://arxiv.org/abs/2505.04136,Strnad_2025_DelegationAndParticipationInDecentralizedGovernance_EpistemicView.pdf,secondary,DAO delegation/participation quality tests for governance robustness metrics.
Han Li; Feng Tian,Advancing Decision-Making through AI-Human Collaboration: A Systematic Review and Conceptual Framework,2025,Research Square preprint,https://doi.org/10.21203/rs.3.rs-6885768/v1,Li_Tian_2025_AdvancingDecisionMakingThroughAIHumanCollaboration.pdf,secondary,Human/AI decision-assistance framing for governance response layers under stress.
